study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB38729	SAMEA6908688	ERX4159653	ERR4198625	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/005/ERR4198625/ERR4198625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/005/ERR4198625/ERR4198625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198625/HUES_D18_S17286_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198625/HUES_D18_S17286_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/005/ERR4198625
PRJEB38729	SAMEA6908690	ERX4159654	ERR4198626	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/006/ERR4198626/ERR4198626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/006/ERR4198626/ERR4198626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198626/KOLFCHIRD18_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198626/KOLFCHIRD18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/006/ERR4198626
PRJEB38729	SAMEA6908692	ERX4159655	ERR4198627	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/007/ERR4198627/ERR4198627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/007/ERR4198627/ERR4198627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198627/KOLFD20_S18360_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198627/KOLFD20_S18360_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/007/ERR4198627
PRJEB38729	SAMEA6908694	ERX4159656	ERR4198628	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/008/ERR4198628/ERR4198628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/008/ERR4198628/ERR4198628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198628/S20565_MIFF3CHIRD18_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198628/S20565_MIFF3CHIRD18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/008/ERR4198628
PRJEB38729	SAMEA6908697	ERX4159657	ERR4198629	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/009/ERR4198629/ERR4198629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/009/ERR4198629/ERR4198629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198629/MIFF1day25_S18178_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198629/MIFF1day25_S18178_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/009/ERR4198629
PRJEB38729	SAMEA6908699	ERX4159658	ERR4198630	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/000/ERR4198630/ERR4198630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/000/ERR4198630/ERR4198630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198630/S_3391Bday22_S18179_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198630/S_3391Bday22_S18179_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/000/ERR4198630
PRJEB38729	SAMEA6908701	ERX4159659	ERR4198631	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/001/ERR4198631/ERR4198631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/001/ERR4198631/ERR4198631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198631/HUES_D50_S17278_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198631/HUES_D50_S17278_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/001/ERR4198631
PRJEB38729	SAMEA6908703	ERX4159660	ERR4198632	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/002/ERR4198632/ERR4198632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/002/ERR4198632/ERR4198632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198632/KOLFD50_S18361_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198632/KOLFD50_S18361_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/002/ERR4198632
PRJEB38729	SAMEA6908705	ERX4159661	ERR4198633	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/003/ERR4198633/ERR4198633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/003/ERR4198633/ERR4198633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198633/MIFF3_D50_S17282_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198633/MIFF3_D50_S17282_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/003/ERR4198633
PRJEB38729	SAMEA6908707	ERX4159662	ERR4198634	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/004/ERR4198634/ERR4198634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/004/ERR4198634/ERR4198634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198634/MIFF1day46_S18185_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198634/MIFF1day46_S18185_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/004/ERR4198634
PRJEB38729	SAMEA6908709	ERX4159663	ERR4198635	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/005/ERR4198635/ERR4198635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/005/ERR4198635/ERR4198635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198635/S_3391B_D50_S17280_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198635/S_3391B_D50_S17280_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/005/ERR4198635
PRJEB38729	SAMEA6908711	ERX4159664	ERR4198636	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/006/ERR4198636/ERR4198636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/006/ERR4198636/ERR4198636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198636/S_3391BD50_S18350_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR419/ERR4198636/S_3391BD50_S18350_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR419/006/ERR4198636
