gene_id,ERR4198627,ERR4198629,ERR4198630,ERR4198632,ERR4198634,ERR4198636,ERR4198638,ERR4198640,ERR4198642
ENSG00000223663.2|NDUFB4P8,6,0,2,1,0,9,2,1,3
ENSG00000223972.5|DDX11L1,8,4,7,5,5,20,3,5,5
ENSG00000237613.2|FAM138A,0,0,0,0,0,5,0,0,1
ENSG00000268020.3|OR4G4P,0,0,0,0,1,1,0,0,1
ENSG00000240361.2|OR4G11P,0,0,0,1,1,0,0,0,1
ENSG00000186092.7|OR4F5,0,0,0,4,1,0,0,0,0
ENSG00000238009.6|ENSG00000238009,23,33,9,17,23,38,14,55,16
ENSG00000233750.3|CICP27,0,0,0,2,1,3,1,1,2
ENSG00000241599.1|ENSG00000241599,0,0,0,0,0,0,0,0,0
ENSG00000279928.2|DDX11L17,0,0,1,0,0,11,2,0,3
ENSG00000286448.1|ENSG00000286448,0,0,0,0,0,0,0,0,0
ENSG00000236601.2|ENSG00000236601,0,0,1,0,0,4,0,0,0
ENSG00000237094.12|ENSG00000237094,532,246,286,148,209,571,103,322,120
ENSG00000269732.1|WBP1LP7,0,0,0,0,0,0,0,0,1
ENSG00000233653.3|CICP7,0,0,0,1,0,2,0,0,1
ENSG00000230021.10|ENSG00000230021,95,79,47,47,69,122,31,115,49
ENSG00000235146.2|ENSG00000235146,0,0,0,0,0,0,0,0,0
ENSG00000268663.1|WBP1LP6,0,0,0,0,0,0,0,0,1
ENSG00000229376.3|CICP3,0,0,0,1,0,2,1,1,1
ENSG00000229905.1|ENSG00000229905,0,0,0,1,0,1,0,0,0
ENSG00000237491.10|LINC01409,207,84,105,114,55,262,40,199,73
ENSG00000177757.2|FAM87B,0,0,2,3,1,8,0,13,0
ENSG00000228794.11|LINC01128,1171,398,579,440,481,1719,413,812,1016
ENSG00000288531.1|ENSG00000288531,0,0,0,5,0,9,7,14,9
ENSG00000230368.2|FAM41C,4,2,3,4,2,9,1,12,2
ENSG00000283040.1|ENSG00000283040,0,0,0,0,0,0,0,0,0
ENSG00000241180.1|ENSG00000241180,0,0,0,0,0,5,0,0,2
ENSG00000223764.2|LINC02593,72,23,29,16,21,230,7,11,40
ENSG00000187634.13|SAMD11,189,37,74,50,76,461,6,25,40
ENSG00000187583.11|PLEKHN1,24,5,3,5,0,28,0,6,10
ENSG00000187642.9|PERM1,5,0,5,6,5,31,0,8,4
ENSG00000224969.1|ENSG00000224969,0,3,0,1,0,7,0,0,1
ENSG00000217801.11|ENSG00000217801,56,36,56,37,34,121,21,36,61
